日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2013-03-25,99.5,99.408,99.5,98.814,46249,459291072.0,0.69,-0.43,-0.433,20.5
2013-03-26,99.4,99.649,99.7,99.4,29732,295845584.0,0.3,0.24,0.241,13.18
2013-03-27,99.648,99.625,99.697,99.591,37401,372601392.0,0.11,-0.02,-0.024,16.58
2013-03-28,99.63,99.731,99.74,99.604,47058,469093472.0,0.14,0.11,0.106,20.86
2013-03-29,99.73,99.833,99.836,99.72,23639,235947972.0,0.12,0.1,0.102,10.48
2013-04-01,99.833,99.945,99.95,99.833,33907,338692912.0,0.12,0.11,0.112,15.03
2013-04-02,99.952,100.122,100.142,99.952,60450,604860000.0,0.19,0.18,0.177,26.8
2013-04-03,100.229,100.365,100.429,100.228,52189,523558016.0,0.2,0.24,0.243,23.14
2013-04-08,100.37,100.291,100.4,100.11,49017,491685216.0,0.29,-0.07,-0.074,21.73
2013-04-09,100.3,100.267,100.315,100.229,52027,521697216.0,0.09,-0.02,-0.024,23.07
2013-04-10,100.28,100.296,100.302,100.272,55964,561280384.0,0.03,0.03,0.029,24.81
2013-04-11,100.3,100.302,100.31,100.291,62331,625179456.0,0.02,0.01,0.006,27.63
2013-04-12,100.304,100.352,100.384,100.304,32171,322805952.0,0.08,0.05,0.05,14.26
2013-04-15,100.39,100.425,100.468,100.39,38670,388437792.0,0.08,0.07,0.073,17.14
2013-04-16,100.5,100.516,100.596,100.47,58425,587523280.0,0.13,0.09,0.091,25.9
2013-04-17,100.57,100.601,100.68,100.543,69382,698103712.0,0.14,0.08,0.085,30.76
2013-04-18,100.601,100.359,100.615,100.102,51255,514723920.0,0.51,-0.24,-0.242,22.72
2013-04-19,100.216,100.11,100.29,100.0,47576,476159152.0,0.29,-0.25,-0.249,21.09
2013-04-22,100.065,99.859,100.09,99.831,45338,453540672.0,0.26,-0.25,-0.251,20.1
2013-04-23,99.8,100.145,100.155,99.8,50416,504540240.0,0.36,0.29,0.286,22.35
2013-04-24,100.14,100.154,100.298,100.0,44135,442112096.0,0.3,0.01,0.009,19.57
2013-04-25,100.154,100.289,100.298,100.105,70460,706311424.0,0.19,0.13,0.135,31.24
2013-04-26,100.291,100.357,100.5,100.291,62735,629794352.0,0.21,0.07,0.068,27.81
