净值日期,单位净值,日增长率
2020-07-08,1.0,0.0
2020-07-10,0.9998,0.0
2020-07-17,0.9983,0.0
2020-07-24,0.9954,0.0
2020-07-31,0.9991,0.0
2020-08-05,1.0017,0.0
2020-08-06,1.0018,0.01
2020-08-07,1.0005,-0.1298
2020-08-10,1.0027,0.2199
2020-08-11,1.001,-0.1695
2020-08-12,1.0002,-0.0799
2020-08-13,1.0011,0.09
2020-08-14,1.0031,0.1998
2020-08-17,1.0081,0.4985
2020-08-18,1.0086,0.0496
2020-08-19,1.0061,-0.2479
2020-08-20,1.0039,-0.2187
2020-08-21,1.0038,-0.01
2020-08-24,1.006,0.22
2020-08-25,1.0059,-0.01
2020-08-26,1.0007,-0.52
2020-08-27,1.0025,0.18
2020-08-28,1.0084,0.59
2020-08-31,1.0068,-0.16
2020-09-01,1.0075,0.07
2020-09-02,1.0074,-0.01
2020-09-03,1.0071,-0.03
2020-09-04,1.0063,-0.08
2020-09-07,1.0024,-0.39
2020-09-08,1.0046,0.22
2020-09-09,0.9995,-0.51
2020-09-10,0.9968,-0.27
2020-09-11,0.9983,0.15
2020-09-14,0.9998,0.15
2020-09-15,1.0015,0.17
2020-09-16,1.002,0.05
2020-09-17,1.0045,0.25
2020-09-18,1.011,0.65
2020-09-21,1.0091,-0.19
2020-09-22,1.0033,-0.57
2020-09-23,1.0039,0.06
2020-09-24,0.9962,-0.77
2020-09-25,0.9936,-0.26
2020-09-28,0.9945,0.09
2020-09-29,0.9964,0.19
2020-09-30,0.9941,-0.23
2020-10-09,1.0047,1.07
2020-10-12,1.0175,1.27
2020-10-13,1.0189,0.14
2020-10-14,1.019,0.01
2020-10-15,1.0185,-0.05
2020-10-16,1.0198,0.13
2020-10-19,1.0157,-0.4
2020-10-20,1.0164,0.07
2020-10-21,1.0146,-0.18
2020-10-22,1.0099,-0.46
2020-10-23,1.0049,-0.5
2020-10-26,1.0055,0.06
2020-10-27,1.0031,-0.24
2020-10-28,1.0035,0.04
2020-10-29,1.0114,0.79
2020-10-30,0.9978,-1.34
2020-11-02,1.0076,0.98
2020-11-03,1.0192,1.15
2020-11-04,1.024,0.47
2020-11-05,1.0409,1.65
2020-11-06,1.0428,0.18
2020-11-09,1.059,1.55
2020-11-10,1.0559,-0.29
2020-11-11,1.059,0.29
2020-11-12,1.0652,0.59
2020-11-13,1.0587,-0.61
2020-11-16,1.0805,2.06
2020-11-17,1.0874,0.64
2020-11-18,1.0914,0.37
2020-11-19,1.0869,-0.41
2020-11-20,1.0933,0.59
2020-11-23,1.1073,1.28
2020-11-24,1.1037,-0.33
2020-11-25,1.0894,-1.3
2020-11-26,1.0852,-0.39
2020-11-27,1.0921,0.64
2020-11-30,1.0812,-1.0
2020-12-01,1.0948,1.26
2020-12-02,1.0965,0.16
2020-12-03,1.0891,-0.67
2020-12-04,1.0882,-0.08
2020-12-07,1.0777,-0.96
2020-12-08,1.0744,-0.31
2020-12-09,1.0621,-1.14
2020-12-10,1.0645,0.23
2020-12-11,1.0516,-1.21
2020-12-14,1.0443,-0.69
2020-12-15,1.0424,-0.18
2020-12-16,1.0402,-0.21
2020-12-17,1.0498,0.92
2020-12-18,1.0536,0.36
2020-12-21,1.0571,0.33
2020-12-22,1.0353,-2.06
2020-12-23,1.0368,0.14
2020-12-24,1.0273,-0.92
2020-12-25,1.0345,0.7
2020-12-28,1.0267,-0.75
2020-12-29,1.0182,-0.83
2020-12-30,1.0226,0.43
2020-12-31,1.0302,0.74
2021-01-04,1.034,0.37
2021-01-05,1.036,0.19
2021-01-06,1.0372,0.12
2021-01-07,1.0307,-0.63
2021-01-08,1.033,0.22
2021-01-11,1.022,-1.06
2021-01-12,1.0305,0.83
2021-01-13,1.029,-0.15
2021-01-14,1.0261,-0.28
2021-01-15,1.0314,0.52
2021-01-18,1.0389,0.73
2021-01-19,1.0438,0.47
2021-01-20,1.0435,-0.03
2021-01-21,1.0485,0.48
2021-01-22,1.0397,-0.84
2021-01-25,1.0265,-1.27
2021-01-26,1.0214,-0.5
2021-01-27,1.0223,0.09
2021-01-28,1.0082,-1.38
2021-01-29,1.0012,-0.69
2021-02-01,1.0113,1.01
2021-02-02,1.0191,0.77
2021-02-03,1.0112,-0.78
2021-02-04,1.0009,-1.02
2021-02-05,1.0031,0.22
2021-02-08,1.0131,1.0
2021-02-09,1.0254,1.21
2021-02-10,1.0333,0.77
2021-02-18,1.0566,2.25
2021-02-19,1.0717,1.43
2021-02-22,1.0807,0.84
2021-02-23,1.0723,-0.78
2021-02-24,1.0604,-1.11
2021-02-25,1.0738,1.26
2021-02-26,1.053,-1.94
2021-03-01,1.0737,1.97
2021-03-02,1.0644,-0.87
